Apricots (frozen),1/2 cup,,119.00,0.12,0.12,0.01,0.00,0.00,5.00,30.37,2.70,12.44,0.85,40.00,18.00,1.00,6.00,3.22,22.58,48.05,10.00,0.70
Cherries (frozen),1/2 cup,,115.00,0.13,0.17,0.04,0.00,0.00,1.00,28.96,2.70,26.24,1.49,5.00,2.00,1.50,2.50,3.22,22.58,48.05,10.00,0.70
Peaches (frozen),1/2 cup,,118.00,0.13,0.16,0.02,0.00,0.00,8.00,29.98,2.20,27.72,0.79,7.00,196.50,0.50,2.50,3.22,22.58,48.05,10.00,0.70
Pineapples (frozen),1/2 cup,,105.00,0.12,0.12,0.01,0.00,0.00,2.00,27.20,1.30,25.85,0.49,0.50,16.50,1.00,2.50,3.22,22.58,48.05,10.00,0.70
Blackberries (frozen),1/2 cup,,48.00,0.08,0.30,0.00,0.00,0.00,1.00,11.80,3.80,8.10,0.90,1.50,4.00,2.00,3.50,1.20,10.48,17.40,8.72,0.03
Blueberries (frozen),1/2 cup,,88.00,0.10,0.30,0.00,0.00,0.00,1.00,17.30,2.30,14.60,0.40,0.75,2.50,0.50,1.75,0.81,30.64,27.46,18.81,0.04
Cranberries (frozen),1/2 cup,,22.50,0.05,0.00,0.00,0.00,0.00,0.00,6.00,2.00,2.00,0.00,1.00,10.00,0.00,1.00,0.81,14.49,13.18,8.78,0.03
Raspberries (frozen),1/2 cup,,83.00,0.10,0.30,0.00,0.00,0.00,0.80,20.50,5.00,15.10,0.90,1.25,36.25,2.50,4.75,1.56,13.63,22.62,11.34,0.04
Strawberries (frozen),1/2 cup,,83.00,0.10,0.10,0.00,0.00,0.00,2.30,22.20,2.10,19.20,0.60,0.67,82.67,1.67,4.00,1.62,8.25,14.14,3.48,0.04
Apples (dried),1/4 cup,,52.00,0.05,0.10,0.00,0.00,0.00,14.90,12.80,1.50,10.40,0.20,0.17,1.17,0.25,1.42,1.40,71.91,135.28,34.57,0.28
Apricots (dried),1/4 cup,,53.00,0.06,0.11,0.00,0.00,0.00,2.00,13.84,1.60,12.23,0.75,16.00,0.25,1.25,3.25,1.65,111.82,110.22,23.60,0.35
Bananas (dried),1/4 cup,,86.00,0.03,0.45,0.17,0.00,0.00,1.00,22.07,2.50,11.82,0.97,1.25,3.00,0.50,1.50,0.66,5.14,12.89,1.36,0.14
Blueberries (dried),1/4 cup,,127.00,0.04,1.00,0.08,0.00,0.00,1.00,32.00,3.00,27.00,1.00,4.00,2.00,10.00,2.00,1.05,39.79,2930.85,377.67,0.22
Cherries (dried),1/4 cup,,140.00,0.04,0.29,0.06,0.00,0.00,6.00,32.18,10.00,18.00,0.50,0.00,0.00,0.00,0.00,1.05,39.79,2930.85,377.67,0.22
